dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
285;Oceanographic and environmental study of the Gulf of Heraklion;NULL;NULL;NULL
286;PROBASS Improving production efficiency of seabass farming by developing methodologies to eliminate environmental androgenesis (EU 5th FP);NULL;CC 0 (No Rights Reserved);NULL
287;REPRO-DOTT Reproduction of the bluefin tuna in Captivity - a feasibility study for the domstication of the <i>Thunnus thynnus</i> (EU 5th FP);NULL;NULL;NULL
288;Sardine (<i>Sardina pilchardus</i>);NULL;NULL;NULL
289;SARONIKOS;Zenetos A., 1990: Seasonal zoobenthos, Saronikos. Hellenic Centre for Marine Research, Greece;Attribution (CC BY);NULL
290;Sinop [Benthos];NULL;NULL;NULL
291;SNU-FF Phytoplankton and zooplankton (1999-2010);Bat, L., Sahin, F., Ustun, F. 1999. Phytoplankton and zooplankton data from 1999-2010. Sinop University Fisheries Faculty (SNU-FF).;Attribution (CC BY);
292;Sparidae (<i>Sparus aurata, Pagrus pagrus, Diplodus sargus, Diplodus puntazzo, Spondyliosoma cantharus, Lithognathus mormyrus, Pagellus bogaraveo, Dentex dentex</i>);NULL;NULL;NULL
293;Study of the Cretan areas with ecologically disturbed coasts;NULL;NULL;NULL
294;Swordfish (B6);NULL;NULL;NULL
295;TMC-MATER;NULL;NULL;NULL
296;Trabzon Phytoplankton;NULL;NULL;NULL
297;INTERPOL;NULL;NULL;NULL
298;MATER [Fauna];NULL;NULL;NULL
299;Bay of Puck;NULL;NULL;NULL
301;Benthic macrofauna and macroflora;NULL;NULL;NULL
302;Benthic meiofauna;NULL;NULL;NULL
303;Biodiversity monitoring, Oslofjord;NULL;NULL;NULL
304;Biological oceanographic series;NULL;NULL;NULL
305;Helgoland Roads Time Series;NULL;Restricted;NULL
306;Biomonitoring of the macrobenthos in the Oosterschelde;NULL;NULL;NULL
307;Biomonitoring of macrobenthos in the Westerschelde.;NULL;Restricted;Restrictions available at contact person
308;Curonian Lagoon ecological monitoring;NULL;NULL;NULL
309;Curonian Lagoon zooplankton survey;NULL;NULL;NULL
311;Estonian monitoring A;NULL;NULL;NULL
312;Fish and by-catch;NULL;NULL;NULL
313;"Fish and bycatch; fish larvae";NULL;NULL;NULL
314;Helgoland Roads Observation Series: Microbial-Plankton;NULL;NULL;NULL
315;Helgoland Roads Time Series: zooplankton;NULL;Restricted;NULL
316;Helgoland Rock Littoral Macroalgae;NULL;NULL;NULL
317;Helgoland Rock Littoral Macrozoobenthos;NULL;NULL;NULL
319;IMP [Fish Westerschelde];"Hummel H. 2009: IMP [Fish Westerschelde]. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=319";For more information on the restrictions, use contact information.;NULL
320;IMP [Fish Oosterschelde];"Hummel H. 2009: IMP [Fish Oosterschelde]. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=320";For more information on the restrictions, use contact information.;NULL
323;Lithuanian Coastal Zone;NULL;NULL;NULL
324;Lithuanian Economic Zone;NULL;NULL;NULL
326;Long-term monitoring of environmental status along the coast of Norway;NULL;NULL;NULL
327;Macroalgae, Macrofauna;NULL;NULL;NULL
328;Macrozoobenthos I;NULL;NULL;NULL
329;Macrophytes;NULL;NULL;NULL
330;Macrozoobenthos II;NULL;NULL;NULL
331;Macrozoobenthos III;NULL;NULL;NULL
332;Macrozoobenthos, Sylt;NULL;NULL;NULL
333;Nutrients, Hydrography, Chlorophyll, Zooplankton;NULL;NULL;NULL
334;Parasites;NULL;NULL;NULL
335;Parasites of Littorina and Carcinus;NULL;NULL;NULL
336;Phytoplankton [1987-?];NULL;NULL;NULL
337;Phytoplankton [1994-?];NULL;NULL;NULL
338;Polish Economic Zone;NULL;NULL;NULL
339;Vistula Lagoon Programme;NULL;NULL;NULL
340;Wadden sea + Dutch Continental Shelf (MILZONE);NULL;NULL;NULL
341;ZeeMove;"Hummel H. 2009: ZeeMove. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=341";For more information on the restrictions, use contact information.;NULL
342;Demersal species relative index of abundance Biomass and density;NULL;NULL;NULL
343;Ecological study of the coastal area of Rhodos island;NULL;NULL;NULL
344;Effect of algal blooms on secondary production;NULL;NULL;NULL
345;Marine sites, habitats and species data collected during the BioMar survey of Ireland.;Picton, B.E., C.S. Emblow, C.C. Morrow, E.M. Sides, P. Tierney, D. McGrath, G. McGeough, M. McCrea,P. Dinneen, J. Falvey, S. Dempsey, J. Dowse, and M. J. Costello, 1999: Marine sites, habitats and species data collected during the BioMar survey of Ireland. Environmental Sciences Unit, Trinity College, Dublin, Ireland;Attribution (CC BY);NULL
346;SensMap project;NULL;NULL;NULL
347;Clare Island survey;NULL;NULL;NULL
348;Sherkin Island marine monitoring;not generally available;NULL;NULL
349;Cullercoats Marine Fauna;NULL;NULL;NULL
350;Plymouth Marine Fauna between 1833-1957;The Marine Biological Association of the United Kingdom (2011), Records for Plymouth Marine Fauna between 1833-1957;Attribution (CC BY);NULL
351;Marine Nature Conservation Review Database;NULL;NULL;NULL
352;The species directory of the marine fauna and flora of the British Isles and surrounding seas;NULL;Restricted;Restrictions available at contact person
353;Marine fauna of the Isle of Man;NULL;NULL;NULL
354;Northern Ireland sublittoral survey;NULL;NULL;NULL
356;KEYCOP;NULL;NULL;NULL
357;MATER [Zooplankton];NULL;NULL;NULL
358;Monitoring of biological parameters in the Saronikos Gulf;NULL;NULL;NULL
359;Monitoring of the Saronikos Gulf ecosystem [1998-1999];NULL;NULL;NULL
360;Monitoring of the Saronikos Gulf ecosystem [2000-2004];NULL;NULL;NULL
361;POEM-BC;NULL;NULL;NULL
362;Pollution Monitoring in the Aegean and Ionian Seas;NULL;NULL;NULL
363;Pollution monitoring in the pagassitikos Gulf;NULL;NULL;NULL
364;Pollution monitoring in the Saronikos Gulf-Med-Pol;NULL;NULL;NULL
365;Pollution monitoring in the Thermaikos Gulf;NULL;NULL;NULL
366;Study of medusae in greek seas;NULL;NULL;NULL
367;Study of the S.Euboikos and SE Saronikos ecosystem;NULL;NULL;NULL
368;Thermaikos 2000;NULL;NULL;NULL
369;Northern Ireland littoral survey;NULL;NULL;NULL
370;Atlas of the Marine Fauna of Southern Spitzbergen;NULL;NULL;NULL
372;BioMôr 2 [1997-1998];NULL;NULL;NULL
373;BioFar;NULL;NULL;NULL
374;The Benthic Invertebrates of Icelandic Waters stationlist;"Brattegard T.; Steingrímsson S.A.; Svavarsson J.; Helgason G.V.; Guðmundsson G.; Sneli J. A.; Tendal O.S.;  (2019): The Benthic Invertebrates of Icelandic Waters stationlist";Attribution (CC BY);NULL
375;UKOOA - UK offshore oil;NULL;NULL;NULL
376;NMMP - national marine monitoring programme;NULL;NULL;NULL
377;Marine fauna and flora inventory;NULL;NULL;NULL
378;Pelagic primary production;NULL;NULL;NULL
379;Inventory of allochthonous species;NULL;NULL;NULL
380;Loggerhead turtle (<i>Caretta caretta</i>) monitoring programme;NULL;NULL;NULL
381;Aland Island Macrophytes;NULL;NULL;NULL
382;Aland Island zoobenthos;NULL;NULL;NULL
383;Aland Island Fish;NULL;NULL;NULL
384;Mapping and monitoring fauna, flora and HT [Fish];NULL;NULL;NULL
385;Mapping and monitoring fauna, flora and HT [Flora];NULL;NULL;NULL
386;Water quality monitoring [Phytoplankton];" France, J.; Marine Biological Station Piran (NIB); (2018) Water quality monitoring [Phytoplankton]";NULL;NULL
390;Alien Species Inventory;NULL;NULL;NULL
391;Bulgarian-Swiss Biodiversity Conservation Programme, 1997 (BSBCP);NULL;NULL;NULL
392;"Project CoMSBLack; NATO-TU Black Sea; Bulgarian-Swiss Biodiversity Conservation Programme, NATO-SfP Project, NATO-TU Black Sea data-base; CESUM-BS-data base";NULL;NULL;NULL
393;"Monitoring programme of IO-BAS, Project CoMSBLack ; NATO-TU Black Sea ;NATO SfP Project NATO-TU Black Sea data-base; CESUM-BS-data base";NULL;NULL;NULL
394;"Monitoring programme of IO-BAS, Project CoMSBLack ; NATO-TU Black Sea; NSF-Be-45 Project, NATO-SfP";NULL;NULL;NULL
395;"Project CoMSBLack ; NATO-TU Black Sea; NSF-Be-45 Project, NATO-SfP, CESUM-BS";NULL;NULL;NULL
396;Clamshell mapping;NULL;NULL;NULL
397;Kamchatka crab monitoring;NULL;NULL;NULL
401;IOW phytoplankton monitoring (HELCOM)/ ODIN Version 2004;IOW phytoplankton monitoring (HELCOM);Restricted;Release with permission of the appropriate parties
402;Estonian monitoring;NULL;NULL;NULL
403;Estonian monitoring B;NULL;NULL;NULL
404;Estonian monitoring C;NULL;NULL;NULL
405;Estonian monitoring D;NULL;NULL;NULL
407;Estonian monitoring F;NULL;NULL;NULL
408;Estonian monitoring G;NULL;NULL;NULL
409;Estonian monitoring H;NULL;NULL;NULL
410;Estonian monitoring I;NULL;NULL;NULL
411;Estonian monitoring J;NULL;NULL;NULL
412;Estonian monitoring K;NULL;NULL;NULL
413;Estonian monitoring L;NULL;NULL;NULL
414;Estonian monitoring M;NULL;NULL;NULL
415;Estonian monitoring N;NULL;NULL;NULL
416;Phytoplankton of the Belgian Continental shelf gathered by the ULB;NULL;Unknown;NULL
420;Bathymetric monitoring dataset of the riverbed of the Zeeschelde (and Westerschelde);"De Cock, F.; Cel Hydrografie-Schelde - AMT; (2017): Bathymetric monitoring dataset of the riverbed of the Zeeschelde (and Westerschelde)";NULL;NULL
421;Bathymetric recordings of the riverbed of the Scheldt downstream Rupelmonde;"De Cock, F.; Cel Hydrografie-Schelde - AMT; (2017): Bathymetric recordings of the riverbed of the Scheldt downstream Rupelmonde";Restricted;Restrictions available at contact person
423;Two-yearly detailed soundings of the riverzone adjacent to the habitat areas Schor van Ouden Doel and Plaat van Boomke;"De Cock, F.; Cel Hydrografie-Schelde - AMT; (2017): Two-yearly detailed soundings of the riverzone adjacent to the habitat areas Schor van Ouden Doel and Plaat van Boomke";NULL;NULL
424;Dataset on bathymetric evolution (0m and -2m MLLWS) of intertidal zones and shallow water zones at the habitat areas Schor van Ouden Doel and Plaat van Boomke;"De Cock, F.; Cel Hydrografie-Schelde - AMT; (2004: Dataset on bathymetric evolution (0m and -2m MLLWS) of intertidal zones and shallow water zones at the habitat areas Schor van Ouden Doel and Plaat van Boomke";Unknown;NULL
425;Monitoring dataset based on soil samples from the Zeeschelde (and Westerschelde);"Royal Belgian Institute of Natural Sciences (RBINS-KBIN); Onderzoeksgroep Ecosysteemdiversiteit - INBO; (2017): Monitoring dataset based on soil samples from the Zeeschelde (and Westerschelde)";The data can be made available upon approval of the data provider, please contact data@vliz.be.;NULL
426;Lithologic and granulometric map of the soil of the Zeeschelde;"Royal Belgian Institute of Natural Sciences (RBINS-KBIN); Flanders Hydraulics Research (WL); (2017): Lithologic and granulometric map of the soil of the Zeeschelde";Unknown;NULL
432;Chemical quality of dredged material in Zeeschelde (and Westerschelde);"Vlaamse Milieu Maatschappij (VMM); Agentschap voor Maritieme Toegang (aMT); (2004). Chemical quality of dredged material in Zeeschelde (and Westerschelde)";The data can be made available upon approval of the data provider, please contact data@vliz.be.;NULL
433;<b>ME-6a.</b> Chemical quality of the water bed of the Beneden-Zeeschelde linked to macrobenthos;NULL;Restricted;Restrictions available at contact person
434;Dredge and dump statistics for the Scheldt Estuary;NULL;Unknown;NULL
438;Monitoring dataset position of the salt marshes Schor van Ouden Doel and Plaat van Boomke;NULL;NULL;NULL
439;<b>ME-5a.</b> Monitoring dataset vegetation of the salt marshes Schor van Ouden Doel and Plaat van Boomke;NULL;Unknown;NULL
440;Monitoring dataset chemical quality of the soil from the salt marshes Schor van Ouden Doel and Plaat van Boomke;NULL;Unknown;NULL
441;<b>ME-3c.</b>Temporal monitoring benthos and sediment dataset mudflat Groot Buitenschoor;NULL;Restricted;Release with permission of the appropriate parties
442;<b>MNO</b> Follow-up developments Ketenissepolder following the leveling to intertidal area in 2002;NULL;Restricted;Restrictions available at contact person
443;Yearly spatial autumn monitoring dataset mudflat Groot Buitenschoor;NULL;Unknown;NULL
444;<b>ME-3b.</b> Three-yearly spatial benthos monitoring dataset inter- en subtidal Zeeschelde;NULL;Unrestricted after moratorium period;NULL
447;<b>ME-2a.</b> Boat counts waterbirds along the Zeeschelde since 1991;NULL;Restricted;Restrictions available at contact person
449;WL - HIC limnimetric or hydrologic monitoring network non-tidal navigable waterways;NULL;Restricted;Release with permission of the appropriate parties
450;WL - HIC limnimetric or hydrologic monitoring network Beneden-Schelde basin;NULL;Restricted;Release with permission of the appropriate parties
451;Hydronet;NULL;Unrestricted;NULL
453;Monitoring network freshwater fish Flanders;NULL;Unknown;NULL
454;"Monitoring network freshwater fish Flanders; Zeeschelde";NULL;Unknown;NULL
457;Database fish migration bottlenecks;Monden S., Van Liefferinge C., Vandenauweele I., Simoens I., Beyens J., Denayer B., Yseboodt R., Meire P. & De Charleroy D. Databank vismigratieknelpunten op prioritaire waterlopen in het Vlaamse Gewest. IBW-UIA databank,, www.vismigratie.be;Unrestricted;NULL
458;RWS Monitoring Shipping accidents;NULL;Restricted;Restrictions apply to some or all of the data
460;Monitoring network for bathing water quality Provincie Zeeland;NULL;NULL;NULL
461;Benthic fauna in the Pechora Sea;Dahle S., S. Cochrane, S. Denisenko., 1992: Benthic fauna around Pechora Sea. Akvaplan-niva, Norway;Attribution (CC BY);
464;Ecological hyperbenthic data of the Scheldt estuary;NULL;Unrestricted after moratorium period;NULL
465;Ecological epibenthic data of the Scheldt estuary;NULL;Unrestricted after moratorium period;NULL
466;Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001);"Beyst, B.; Fockedey, N.; Hostens, K.; Mees, J.; Marine Biology Research Group - Ugent: Belgium; (2004): Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001). Marine Data Archive.";Attribution (CC BY);NULL
467;Ecological hyperbenthic data of the Scheldt estuary: ENDIS-RISKS data (2002-2005);NULL;Attribution (CC BY);
468;Ecological epibenthic data of the Scheldt estuary: ENDIS-RISKS data (2002-2005);NULL;Unrestricted after moratorium period;NULL
469;Ecological epibenthic data of the Scheldt estuary: historical data (1988-2001);NULL;Restricted;Restrictions available at contact person
470;STARDUST Phase 1;NULL;Unrestricted after moratorium period;NULL
471;North Atlantic Stomiidae;Porteiro, F.M. & R. S. Santos, 2004. The Stomiidae database (S_db).;Unrestricted after moratorium period;NULL
472;TROPHOS/PODO-I integrated database;"Soetaert K. 2004: TROPHOS/PODO-I work-database II. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=472";Attribution (CC BY);
